;id;color;name;brand;rate_beer;features;description;image
18;19;rubia;Birra & Blues Mago de Oz;(cervezas artesanas Birra & Blues);;{'Estilo de cerveza': ' Blonde Ale', 'Graduación alcohólica': ' 4,5% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 21 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '7', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
La banda de rock Mago de Oz ya tiene su propia cerveza artesana.
Presentada en junio de 2017, esta Blonde Ale es una cerveza ligera, rubia y muy fácil de beber. Elaborada con cuatro tipos de malta de cebada y dos variedades de lúpulo cultivado en España.
Limpia, refrescante y con recuerdos frutales.
No tenemos duda de que este verano sonará mucho la música de Mago de Oz mientras brindas una de sus cervezas. Después de todo ya lo dice su canción... ""Alza tu cerveza, brinda por la libertad. Bebe y vente de fiesta..."".
";https://static1.soloartesanas.es/3014-large_default/birra-blues-mago-de-oz.jpg
19;20;rubia;Laugar Basurde;(cervezas artesanas Laugar);;{'Estilo de cerveza': ' Amber Ale', 'Graduación alcohólica': ' 5,2% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 40 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Gordexola', 'Provincia': 'Vizcaya', 'Comunidad Autónoma': 'País Vasco'};"
Una Amber Ale de intenso color ambarino y con un marcado aroma a lúpulo.
Predomina en aromas y sabores la malta levemente sobre el lúpulo con un final seco.
Muy fácil de beber.
";https://static2.soloartesanas.es/2958-large_default/laugar-basurde.jpg
20;21;rubia;Laugar EPA!;(cervezas artesanas Laugar);;{'Estilo de cerveza': ' American Pale Ale - APA', 'Graduación alcohólica': ' 5,2% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 40 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Gordexola', 'Provincia': 'Vizcaya', 'Comunidad Autónoma': 'País Vasco'};"
Una ""Euskadiko Pale Ale"" de color pálido y muy refrescante.
Con predominio de aromas y sabores cítricos y florales gracias a la carga de lúpulo que se emplea en su elaboración.
Con un final seco y amargo, digno de su estilo American Pale Ale, y con un retrogusto largo.
";https://static2.soloartesanas.es/2957-large_default/laugar-epa.jpg
21;22;rubia;Birra & Blues Smoke my Beer;(cervezas artesanas Birra & Blues);;{'Estilo de cerveza': ' Smoked Beer', 'Graduación alcohólica': ' 8,2% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 24 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '20', 'Población': 'Massalfassar', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
De color rubio intenso y ligeramente turbia.
Elaborada con tres tipos de malta de cebada, una de ellas ahumada.
El dry wooding empleado con roble francés en su creación hace que sea una cerveza con recuerdos a tofe y matices a vanililla sin que su alto contenido alcohólico se note en boca.
";https://static3.soloartesanas.es/2941-large_default/birra-blues-smoke.jpg
22;23;rubia;Birra & Blues Amber;(cervezas artesanas Birra & Blues);;{'Estilo de cerveza': ' American Amber Ale', 'Graduación alcohólica': ' 6,0% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 13 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '22', 'Población': 'Massalfassar', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
Elaborada con piña asada en horno de leña. Una original interpretación de las Amber Ale americanas.
Se emplean en su creación tres tipos de malta y lúpulo inglés.
Con aroma y asbor ligeramente dulces.
";https://static2.soloartesanas.es/2939-large_default/birra-blues-amber.jpg
23;24;rubia;Birra & Blues IPA Blues;(cervezas artesanas Birra & Blues);;{'Estilo de cerveza': ' English IPA', 'Graduación alcohólica': ' 5,5% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 44 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '12', 'Población': 'Massalfassar', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
IPA de corte británica elaborada con tres tipos de malta y seis lúpulos (dos de ellos en dry-hopping).
Con un amargor y un grado alcohólico moderados para su estilo representa una cerveza perfecta para iniciarse en el mundo de las IPAs.
";https://static2.soloartesanas.es/2937-large_default/birra-blues-ipa-blues.jpg
24;25;rubia;Birra & Blues Tripel;(cervezas artesanas Birra & Blues);;{'Estilo de cerveza': ' Tripel', 'Graduación alcohólica': ' 6,8% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 13 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '18', 'Población': 'Massalfassar', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
Cerveza de estilo Tripel Belga elaborada con dos tipos de malta y dos de lúpulo.
Con una graduación alcohólica media (no presente en boca) y un sabor ligeramente dulce.
";https://static2.soloartesanas.es/2936-large_default/birra-blues-tripel.jpg
25;26;rubia;Birra & Blues La Rubia;(cervezas artesanas Birra & Blues);;{'Estilo de cerveza': ' Blonde Ale', 'Graduación alcohólica': ' 5,6% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 23 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '8', 'Población': 'Massalfassar', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
Una cerveza de aspecto dorado y ligeramente turbia.
Elaborada con tres maltas entre las que destaca la malta Pils, que le aporta un singular aroma dulzón.
Les acompañan dos variedades de lúpulo que redondean esta cerveza
";https://static2.soloartesanas.es/2931-large_default/birra-blues-la-rubia.jpg
26;27;rubia;Birra & Blues Doble Malta;(cervezas artesanas Birra & Blues);;{'Estilo de cerveza': ' Belgian Blonde Ale', 'Graduación alcohólica': ' 6,2% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 31 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '15', 'Población': 'Massalfassar', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
Cerveza de estilo belga elaborada con cuatro tipos de malta y dos variedades de lúpulo.
Con una graduación alcohólica propia de su estilo pero que no está presente en boca.
";https://static2.soloartesanas.es/2932-large_default/birra-blues-doble-malta.jpg
27;28;rubia;Madriz Chueca;(cervezas artesanas Madriz);;{'Estilo de cerveza': ' India Pale Ale - IPA', 'Graduación alcohólica': ' 5,5% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 45 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Lúpulos': 'Hull melon', 'Provincia': 'Madrid', 'Comunidad Autónoma': 'Madrid'};"
Una Indian Pale Ale de color dorado y con una espuma persistente.
Con un intenso aroma a lúpulo y un carácter cítrico y frutal espectacular.
Destacan, gracias además al dry-hopping, los recuerdos a frutales tropicales como el mango o la fruta de la pasión.
En boca, notarás la fruta combinada con el dulzor de la malta caramelizada, junto a un final seco y amargo.el “finish” seco y la dulzura de la malta. Amargor: medio-alto.
";https://static1.soloartesanas.es/2929-large_default/madriz-chueca.jpg
28;29;rubia;Alma Turdetana;(cervezas artesanas Alma Turdetana);;{'Estilo de cerveza': ' Golden Braggot', 'Graduación alcohólica': ' 5,0% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 35 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Córdoba', 'Provincia': 'Córdoba', 'Comunidad Autónoma': 'Andalucía', 'Temperatura de consumo': '6-8 ºC'};"
Una Golden Braggot elaborada con miel de azahar artesana del pueblo Hornachuelos (conocido por su tradición apicultora). Se condimenta además con notas de vainilla y canela naturales.
De color dorado y espuma blanca y cremosa con una retención correcta.
Aromas a vainilla y canela junto a sabores equilibrados (entre el dulzor de la malta y el amargor del lúpulo).
";https://static1.soloartesanas.es/2915-large_default/alma-turdetana.jpg
29;30;rubia;Golden Koeman;(cervezas artesanas La Lenta);;{};"
Una Golden Ale de 5,0º elaborada para conmemorar el 25 aniversario de la primera Champions League del F.C. Barcelona.
De aspecto claro y de color dorado. Con una espuma blanca con buena retención.
Sabores afrutados tropicales con sensaciones cítricas y reminiscencias a césped recién cortado.
";https://static1.soloartesanas.es/2895-large_default/golden-koeman.jpg
30;31;rubia;Optimista / Pesimista;(cervezas artesanas La Lenta);;{};"
Una APA de 5,5º y amargor controlado.
De aspecto claro, ambarino y con una espuma persistente de color blanco.
De aromas cítricos y tropicales con sabores florales, cítricos y afrutados.
";https://static3.soloartesanas.es/2894-large_default/optimista-pesimista.jpg
31;32;rubia;La Virgen IPA;(cervezas artesanas Cerveza La Virgen);;{'Estilo de cerveza': ' India Pale Ale - IPA', 'Graduación alcohólica': ' 6,5% Alc./Vol.', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Lúpulos': 'Citra y Cascade', 'Población': 'Las Rozas', 'Provincia': 'Madrid', 'Comunidad Autónoma': 'Madrid'};"
IPA lupulada en fresco con Citra y Cascade.
Buen equilibrio entre la malta y el lúpulo para que, seas lo exigente que seas, te permita disfrutar de ella a cada sorbo.
";https://static1.soloartesanas.es/2893-large_default/la-virgen-ipa.jpg
32;33;rubia;La Quarantamaula American Pale Ale;(cervezas artesanas La Quarantamaula);;{'Estilo de cerveza': ' American Pale Ale - APA', 'Graduación alcohólica': ' 6,4% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 30 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Catarroja', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
Una APA elaborada con 5 variedades de lúpulo diferentes.
Una cerveza redonda, con toques resinosos y cítricos que no dejará indiferente ni a tu nariz ni a tu paladar.
Como sus autores la califican... ""La felicidad hecha cerveza"".
";https://static1.soloartesanas.es/2879-large_default/quarantamaula-american-pale-ale.jpg
33;34;rubia;La Quarantamaula American Golden Ale;(cervezas artesanas La Quarantamaula);;{'Estilo de cerveza': ' American Golden Ale', 'Graduación alcohólica': ' 5,5% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 20 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Catarroja', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
Cristalina y muy aromática. Una Golden Ale ligera y de trago fácil.
Aromas y sabores a frutas tropicales gracias a la combinación de lúpulos americanos empleados en su elaboración.
Con un amargor suave e integrado y de color dorado pálido.
";https://static1.soloartesanas.es/2878-large_default/quarantamaula-american-golden-ale.jpg
34;35;rubia;3Monos Vito Hopleone;(cervezas artesanas 3Monos);;{'Estilo de cerveza': ' Double Red IPA', 'Graduación alcohólica': ' 8,5% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 85 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '42', 'Población': 'Málaga', 'Provincia': 'Málaga', 'Comunidad Autónoma': 'Andalucía'};"
Toda una explosión de fruta tropical llena de aromas y sabores provenientes de la carga de lúpulo.
Una Double Red IPA que equilibra la malta y el lúpulo de manera correcta y donde las maltas a caramelo le aportan una sensación perfecta que no podrás rechazar.
";https://static1.soloartesanas.es/2876-large_default/vito-hopleone.jpg
35;36;rubia;3Monos Dirty Harry;(cervezas artesanas 3Monos);;{'Estilo de cerveza': ' India Pale Ale - IPA', 'Graduación alcohólica': ' 6,5% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 65 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '15', 'Población': 'Málaga', 'Provincia': 'Málaga', 'Comunidad Autónoma': 'Andalucía'};"
Intensa y aromática, una IPA de color anaranjado.
Aromas tropicales y a bayas y sabores a frutal tropical. Notarás también de forma leve tonos a resina y pino propios del lúpulo.
De amargor intenso y persistente en boca, con una sensación de llenado espectacular.
";https://static3.soloartesanas.es/2875-large_default/dirty-harry.jpg
36;37;rubia;3Monos Monkey Business;(cervezas artesanas 3Monos);;{'Estilo de cerveza': ' American Pale Ale - APA', 'Graduación alcohólica': ' 5,3% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 40 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '18', 'Población': 'Málaga', 'Provincia': 'Málaga', 'Comunidad Autónoma': 'Andalucía'};"
Una American Pale Ale equlibrada y llena de matices.
De color ambarino y aromas frutales y tropicales.
Con un sabor ligeramente dulce (bien integrado con el amargor característico de su estilo) y toques frutales y acaramelados. De cuerpo maltoso con espuma beige y persistente.
";https://static2.soloartesanas.es/2874-large_default/monkey-business.jpg
37;38;rubia;3Monos Golden Ape;(cervezas artesanas 3Monos);;{'Estilo de cerveza': ' Session IPA', 'Graduación alcohólica': ' 4,5% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 40 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '10', 'Población': 'Málaga', 'Provincia': 'Málaga', 'Comunidad Autónoma': 'Andalucía'};"
Muy pero que muy fácil de beber. De color dorado pálido y de espuma blanca y cremosa.
Una Session IPA cítrica y muy refrescante elaborada con un único lúpulo y una única variedad de malta. Esto le confiere un cuerpo ligero.
Con recuerdos florales y cítricos en nariz y a pomelo y pino en boca.
";https://static2.soloartesanas.es/2873-large_default/golden-ape.jpg
38;39;rubia;Skunk Diaple;(cervezas artesanas Ordio Minero);;{'Estilo de cerveza': ' American IPA', 'Graduación alcohólica': ' 6,2% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 52 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '20', 'Población': 'Blesa', 'Provincia': 'Teruel', 'Comunidad Autónoma': 'Aragón', 'Temperatura de consumo': '12 ºC'};"
De color marrón rojizo y aspecto cristalino.
Elaborada con lúpulos americanos y bajo la técnica del dry-hopping. Esto le aporta aromas a cítricos y pomelo intensos.
Sabores amargos bien equilibrados por las maltas caramelizadas dando lugar a una cerveza redonda.
";https://static3.soloartesanas.es/2868-large_default/skunk-diaple.jpg
39;40;rubia;The Flying Inn Liquid Nemesis;(cervezas artesanas The Flying Inn);;{'Estilo de cerveza': ' India Pale Ale - IPA', 'Graduación alcohólica': ' 6,4% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 70 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Maltas': 'Pils, Pale, Crystal y Avena', 'Lúpulos': 'Simcoe, Centennial y Galaxy', 'Provincia': 'Valladolid', 'Comunidad Autónoma': 'Castilla y León'};"
De color dorado profundo con una espuma blanca.
Una Indian Pale Ale de aroma floral sobre un fondo de heno y hierba fresca.
En boca, notarás el dulzor proveniente de la malta junto a un cuerpo sedoso gracias a la avena empleada en su elaboración. Notas herbales para acabar originarias del Simcoe.
";https://static3.soloartesanas.es/2862-large_default/liquid-nemesis.jpg
