id;color;name;brand;description;image;Estilo;Graduación;Fermentación;IBU;Lúpulos;European Brewing Convention (EBC);Maltas;Temperatura de consumo;Grano;Población;Provincia;Comunidad Autónoma;País
21;rubia;Laugar EPA!;Laugar;"
Una ""Euskadiko Pale Ale"" de color pálido y muy refrescante.
Con predominio de aromas y sabores cítricos y florales gracias a la carga de lúpulo que se emplea en su elaboración.
Con un final seco y amargo, digno de su estilo American Pale Ale, y con un retrogusto largo.
";https://static2.soloartesanas.es/2957-large_default/laugar-epa.jpg; America Pale Ale;5.2;Ale;40.0;;;;;;Gordexola;Vizcaya;País Vasco;España
22;rubia;Birra & Blues Smoke my Beer;Birra & Blues;"
De color rubio intenso y ligeramente turbia.
Elaborada con tres tipos de malta de cebada, una de ellas ahumada.
El dry wooding empleado con roble francés en su creación hace que sea una cerveza con recuerdos a tofe y matices a vanililla sin que su alto contenido alcohólico se note en boca.
";https://static3.soloartesanas.es/2941-large_default/birra-blues-smoke.jpg; Smoked Beer;8.2;Ale;24.0;;20;;;;Massalfassar;Valencia;Valencia;España
23;rubia;Birra & Blues Amber;Birra & Blues;"
Elaborada con piña asada en horno de leña. Una original interpretación de las Amber Ale americanas.
Se emplean en su creación tres tipos de malta y lúpulo inglés.
Con aroma y asbor ligeramente dulces.
";https://static2.soloartesanas.es/2939-large_default/birra-blues-amber.jpg; American Amber Ale;6.0;Ale;13.0;;22;;;;Massalfassar;Valencia;Valencia;España
24;rubia;Birra & Blues IPA Blues;Birra & Blues;"
IPA de corte británica elaborada con tres tipos de malta y seis lúpulos (dos de ellos en dry-hopping).
Con un amargor y un grado alcohólico moderados para su estilo representa una cerveza perfecta para iniciarse en el mundo de las IPAs.
";https://static2.soloartesanas.es/2937-large_default/birra-blues-ipa-blues.jpg; English IPA;5.5;Ale;44.0;;12;;;;Massalfassar;Valencia;Valencia;España
25;rubia;Birra & Blues Tripel;Birra & Blues;"
Cerveza de estilo Tripel Belga elaborada con dos tipos de malta y dos de lúpulo.
Con una graduación alcohólica media (no presente en boca) y un sabor ligeramente dulce.
";https://static2.soloartesanas.es/2936-large_default/birra-blues-tripel.jpg; Tripel;6.8;Ale;13.0;;18;;;;Massalfassar;Valencia;Valencia;España
26;rubia;Birra & Blues La Rubia;Birra & Blues;"
Una cerveza de aspecto dorado y ligeramente turbia.
Elaborada con tres maltas entre las que destaca la malta Pils, que le aporta un singular aroma dulzón.
Les acompañan dos variedades de lúpulo que redondean esta cerveza
";https://static2.soloartesanas.es/2931-large_default/birra-blues-la-rubia.jpg; Blonde Ale;5.6;Ale;23.0;;8;;;;Massalfassar;Valencia;Valencia;España
27;rubia;Birra & Blues Doble Malta;Birra & Blues;"
Cerveza de estilo belga elaborada con cuatro tipos de malta y dos variedades de lúpulo.
Con una graduación alcohólica propia de su estilo pero que no está presente en boca.
";https://static2.soloartesanas.es/2932-large_default/birra-blues-doble-malta.jpg; Belgian Blonde Ale;6.2;Ale;31.0;;15;;;;Massalfassar;Valencia;Valencia;España
28;rubia;Madriz Chueca;Madriz;"
Una Indian Pale Ale de color dorado y con una espuma persistente.
Con un intenso aroma a lúpulo y un carácter cítrico y frutal espectacular.
Destacan, gracias además al dry-hopping, los recuerdos a frutales tropicales como el mango o la fruta de la pasión.
En boca, notarás la fruta combinada con el dulzor de la malta caramelizada, junto a un final seco y amargo.el “finish” seco y la dulzura de la malta. Amargor: medio-alto.
";https://static1.soloartesanas.es/2929-large_default/madriz-chueca.jpg; India Pale Ale;5.5;Ale;45.0;Hull melon;;;;;sin especificar;Madrid;Madrid;España
29;rubia;Alma Turdetana;Alma Turdetana;"
Una Golden Braggot elaborada con miel de azahar artesana del pueblo Hornachuelos (conocido por su tradición apicultora). Se condimenta además con notas de vainilla y canela naturales.
De color dorado y espuma blanca y cremosa con una retención correcta.
Aromas a vainilla y canela junto a sabores equilibrados (entre el dulzor de la malta y el amargor del lúpulo).
";https://static1.soloartesanas.es/2915-large_default/alma-turdetana.jpg; Golden Braggot;5.0;Ale;35.0;;;;6-8 ºC;;Córdoba;Córdoba;Andalucía;España
32;rubia;La Virgen IPA;Cerveza La Virgen;"
IPA lupulada en fresco con Citra y Cascade.
Buen equilibrio entre la malta y el lúpulo para que, seas lo exigente que seas, te permita disfrutar de ella a cada sorbo.
";https://static1.soloartesanas.es/2893-large_default/la-virgen-ipa.jpg; India Pale Ale;6.5;Ale;999.0;Citra y Cascade;;;;;Las Rozas;Madrid;Madrid;España
33;rubia;La Quarantamaula American Pale Ale;La Quarantamaula;"
Una APA elaborada con 5 variedades de lúpulo diferentes.
Una cerveza redonda, con toques resinosos y cítricos que no dejará indiferente ni a tu nariz ni a tu paladar.
Como sus autores la califican... ""La felicidad hecha cerveza"".
";https://static1.soloartesanas.es/2879-large_default/quarantamaula-american-pale-ale.jpg; America Pale Ale;6.4;Ale;30.0;;;;;;Catarroja;Valencia;Valencia;España
34;rubia;La Quarantamaula American Golden Ale;La Quarantamaula;"
Cristalina y muy aromática. Una Golden Ale ligera y de trago fácil.
Aromas y sabores a frutas tropicales gracias a la combinación de lúpulos americanos empleados en su elaboración.
Con un amargor suave e integrado y de color dorado pálido.
";https://static1.soloartesanas.es/2878-large_default/quarantamaula-american-golden-ale.jpg; American Golden Ale;5.5;Ale;20.0;;;;;;Catarroja;Valencia;Valencia;España
35;rubia;3Monos Vito Hopleone;3Monos;"
Toda una explosión de fruta tropical llena de aromas y sabores provenientes de la carga de lúpulo.
Una Double Red IPA que equilibra la malta y el lúpulo de manera correcta y donde las maltas a caramelo le aportan una sensación perfecta que no podrás rechazar.
";https://static1.soloartesanas.es/2876-large_default/vito-hopleone.jpg; Double Red IPA;8.5;Ale;85.0;;42;;;;Málaga;Málaga;Andalucía;España
36;rubia;3Monos Dirty Harry;3Monos;"
Intensa y aromática, una IPA de color anaranjado.
Aromas tropicales y a bayas y sabores a frutal tropical. Notarás también de forma leve tonos a resina y pino propios del lúpulo.
De amargor intenso y persistente en boca, con una sensación de llenado espectacular.
";https://static3.soloartesanas.es/2875-large_default/dirty-harry.jpg; India Pale Ale;6.5;Ale;65.0;;15;;;;Málaga;Málaga;Andalucía;España
37;rubia;3Monos Monkey Business;3Monos;"
Una American Pale Ale equlibrada y llena de matices.
De color ambarino y aromas frutales y tropicales.
Con un sabor ligeramente dulce (bien integrado con el amargor característico de su estilo) y toques frutales y acaramelados. De cuerpo maltoso con espuma beige y persistente.
";https://static2.soloartesanas.es/2874-large_default/monkey-business.jpg; America Pale Ale;5.3;Ale;40.0;;18;;;;Málaga;Málaga;Andalucía;España
38;rubia;3Monos Golden Ape;3Monos;"
Muy pero que muy fácil de beber. De color dorado pálido y de espuma blanca y cremosa.
Una Session IPA cítrica y muy refrescante elaborada con un único lúpulo y una única variedad de malta. Esto le confiere un cuerpo ligero.
Con recuerdos florales y cítricos en nariz y a pomelo y pino en boca.
";https://static2.soloartesanas.es/2873-large_default/golden-ape.jpg; Session IPA;4.5;Ale;40.0;;10;;;;Málaga;Málaga;Andalucía;España
39;rubia;Skunk Diaple;Ordio Minero;"
De color marrón rojizo y aspecto cristalino.
Elaborada con lúpulos americanos y bajo la técnica del dry-hopping. Esto le aporta aromas a cítricos y pomelo intensos.
Sabores amargos bien equilibrados por las maltas caramelizadas dando lugar a una cerveza redonda.
";https://static3.soloartesanas.es/2868-large_default/skunk-diaple.jpg; American IPA;6.2;Ale;52.0;;20;;12 ºC;;Blesa;Teruel;Aragón;España
40;rubia;The Flying Inn Liquid Nemesis;The Flying Inn;"
De color dorado profundo con una espuma blanca.
Una Indian Pale Ale de aroma floral sobre un fondo de heno y hierba fresca.
En boca, notarás el dulzor proveniente de la malta junto a un cuerpo sedoso gracias a la avena empleada en su elaboración. Notas herbales para acabar originarias del Simcoe.
";https://static3.soloartesanas.es/2862-large_default/liquid-nemesis.jpg; India Pale Ale;6.4;Ale;70.0;Simcoe, Centennial y Galaxy;;Pils, Pale, Crystal y Avena;;;sin especificar;Valladolid;Castilla y León;España
41;rubia;The Flying Inn Telepathic War Elephant;The Flying Inn;"
Una Doble IPA que te hará despertar al sueño psicotrópico gracias a su poderosa bofetada de lúpulo. 100 IBUs nada más y nada menos.
De color anaranjado profundo y coronoada por una espuma blanca, compacta y persistente.
Notas de mango y cítricos sobre un fondo de pino y heno en nariz. Comienzo en boca dulzón por la malta que pronto cambiará a seco con recuerdos a frutas rojas y resina del lúpulo.
";https://static2.soloartesanas.es/2944-large_default/telepathic-war-elephant.jpg; Imperial / Double IPA;7.9;Ale;100.0;Chinook, Columbus, El Dorado, Mosaic y Citra;;Extra Pale Malt;;;sin especificar;Valladolid;Castilla y León;España
43;rubia;Sikaru Larak;Fundación Badalona Capaç;"
Una cerveza rubia, de estilo Pale Ale, refrescante y de trago fácil.
De color amarillo y con notas y recuerdos cítricos y florales en nariz y en boca.
";https://static2.soloartesanas.es/2858-large_default/sikaru-larak.jpg; Pale Ale;4.3;Ale;999.0;Chinook, Citra y Amarillo;;;;;Badalona;Barcelona;Cataluña;España
44;rubia;Lagarta;Cervecera Libre;"
Una Blonde Ale especiada con jengibre, semillas de cilantro y cáscara de naranja.
Fresca y aromática, una cerveza de trago fácil para tomar una detrás de otra.
";https://static2.soloartesanas.es/2849-large_default/lagarta.jpg; Blonde Ale;5.5;Ale;25.0;;;;;;Mérida;Badajoz;Extremadura;España
45;rubia;Althaia Mistral;Althaia Artesana;"
Una Imperial IPA robusta, aromática y amarga.
Con notas cítricas y tropicales gracias a los lúpulos americanos empleados en su elaboración.
";https://static1.soloartesanas.es/2920-large_default/mistral.jpg; Imperial / Double IPA;8.7;Ale;999.0;;;;;;Altea;Alicante;Valencia;España
46;rubia;Ballut Hispanic;Cerveza Ballut;"
Una Doble IPA de color anaranjado y espuma blanqucina y persistente.
Con aromas claramente marcados por el lúpulo digno de su estilo, ligeramente herbales, y con notas a cítricos y frutas tropicales.
De carbonatación media en boca con un pronunciado amargor y sabores intensos a lúpulo con recuerdos a mango y pomelo.
";https://static1.soloartesanas.es/2809-large_default/hispanic.jpg; Imperial / Double IPA;7.5;Ale;70.0;;;;;;Badajoz;Badajoz;Extremadura;España
47;rubia;Engendro;Castelló Beer Factory;"
Una cerveza un poco irreverente y macarra como sus propios autores opinan.
6 lúpulos diferentes hacen que en nariz y en boca se produzca una verdadera explosión de recuerdos, con toques resinosos y cítricos.
";https://static1.soloartesanas.es/2753-large_default/cbf-engendro.jpg; America Pale Ale;6.4;Ale;30.0;Cascade, Magnum, Perle, Chinook, Amarillo, Summit;;Pale Ale, Pilsen;;;Castellón de la Plana;Castellón;Valencia;España
48;rubia;Happy Hoppy;Castelló Beer Factory;"
Su amargor te sorprenderá. Gracias a los lúpulos Columbus, Magnum, Cascade, Chinook empleados en su elaboración destaca por su intenso aroma en nariz y su perfil resinoso y lupulizado en boca.
De amargor contundente y bien equilibrado con el dulzor característico de la malta. A pesar de ello sorprende su bajo contenido alcohólico frente a otras cervezas del estilo.
";https://static2.soloartesanas.es/3035-large_default/cbf-happy-hoppy.jpg; India Pale Ale;5.9;Ale;48.0;Columbus, Magnum, Cascade, Chinook;;Pale Ale, Caramünich tipo I;;;Castellón de la Plana;Castellón;Valencia;España
49;rubia;Golden;Castelló Beer Factory;"
Cristalina y muy aromática. Así es la Blonde Ale de Castelló Beer Factory; una cerveza de trago fácil, de amargor suave y muy ligera.
Los lúpulos americanos empleados en su elaboración le confieren un aroma y sabor a frutas identificable.
Para repetir una y otra vez.
";https://static1.soloartesanas.es/2750-large_default/cbf-golden.jpg; Blonde Ale;5.5;Ale;20.0;Herkules, Perle, Cascade, Summit;;Pale Ale, Pilsen;;;Castellón de la Plana;Castellón;Valencia;España
50;rubia;Pure Botanics IPA 3;Dawat;"
Con una espuma de color marfil y un cuerpo denso y ambarino.
Destaca por sus aromas y sabores a maltas caramelizadas junto a notas cítricas.
";https://static2.soloartesanas.es/2747-large_default/pure-botanics-ipa-3.jpg; India Pale Ale;6.2;Ale;65.0;Simcoe, Chinook, Centenial;;Pale Ale, Cara 20, Munich;;;Cuenca;Cuenca;Castilla-La Mancha;España
51;rubia;Dawat Orange & Lemon;Dawat;"
Refrescante, de cuerpo bajo, amargor suave y equilibrado y de trago largo. Elaborada con naranja y limón.
De color amarillo pálido, espuma blanca y aromas cítricos con recuerdos a cáscara de naranja y limón.
";https://static2.soloartesanas.es/2745-large_default/orange-lemon.jpg; Blonde Ale;4.4;Ale;22.0;;;;;;Cuenca;Cuenca;Castilla-La Mancha;España
52;rubia;Dawat Trigo;Dawat;"
Cerveza de trigo de estilo alemán.
";https://static3.soloartesanas.es/2744-large_default/dawat-trigo.jpg; Weizen - Weissbier;5.5;Ale;999.0;;;;;;Cuenca;Cuenca;Castilla-La Mancha;España
53;rubia;Aloja;L'anjub;"
Una Catalan Farmhouse Ale elaborada en colaboración con Stillwater Artisan Ales (EEUU).
De color pajizo brillante y con una apariencia turbia. Sus aromas y sabores florales, herbáceos y especiados te cautivarán.
";https://static1.soloartesanas.es/2737-large_default/aloja.jpg; Saison;6.7;Ale;25.0;;;;;;Flix;Tarragona;Castilla-La Mancha;España
54;rubia;S'Agüia;Cervesa Marina;"
Saison con notas ácidas y resinosas. De color amarillo pajizo, espuma persistente y ligeramente cítrica en boca.
Muy pero que muy agradable de beber.
";https://static3.soloartesanas.es/2663-large_default/s-aguia.jpg; Saison;4.0;Ale;999.0;;;;;;Blanes;Girona;Cataluña;España
55;rubia;AIR26 American IPA;Quana;"
Una IPA de corte americano de color ambarino y sabor amargo, como bien promete su estilo.
Amargor afrutado gracias a los lúpulos americanos empleados en su elaboración.
";https://static2.soloartesanas.es/2647-large_default/air26-american-ipa.jpg; American IPA;4.5;Ale;48.0;;;;Entre 2 y 18ºC;;L’Ametlla del Vallès;Barcelona;Cataluña;España
56;rubia;Sex Museum;Panda Beer;"
De estilo belga tipo Saison, elaborada con pimienta de Jamaica, jengibre fresco y extracto de piel de naranja.
Ambarina y con la espuma blanca y persistente. De aromas afrutados con el recuerdo de la pimienta y el jengibre en menor medida.
Notas cítricas a naranja junto a pimienta y jengibre de nuevo en boca. Con una sensación de amargor leve y de carbonatación media.
Afrutada, seca y con algo de acidez, combinada con el bajo contenido de alcohol es una cerveza muy bebible, ideal para las tardes de calor del verano.
";https://static1.soloartesanas.es/2642-large_default/sex-museum.jpg; Saison;5.2;Ale;999.0;Saaz;;Pilsen, Munich, Caramunich y malta clara de trigo;;;Madrid;Madrid;Madrid;España
57;rubia;Shizun;Panda Beer;"
Una cerveza de estilo belga tipo Saison con lúpulo en dry-hopping, un pequeño porcentaje de azúcar para conseguir la sequedad propia del estilo y jengibre fresco.
De color ámbar y con la espuma blanca y persistente. En el aroma se percibe el jengibre junto a recuerdos afrutados.
El jengibre también está presente, aunque en menor medida en su sabor junto a notas cítricas propias de la naranja o incluso la lima.
Afrutada y seca y con algo de acidez, a pesar de la graduación algo alta, es una cerveza de fácil trago, perfecta para los meses de calor del verano.
";https://static1.soloartesanas.es/2640-large_default/shizun.jpg; Saison;7.2;Ale;999.0;;;Pilsen, Munich, Caramunich y malta clara de trigo;;;Madrid;Madrid;Madrid;España
58;rubia;Garagart Hop Reef;Garagart;"
Una DIPA ligeramente dulce y maltosa, de cuerpo medio y poca carbonatación.
Perfecta para aquellos que quieren probar la centena de IBUs sin ""padecer"" un amargor excesivo.
 
";https://static3.soloartesanas.es/2635-large_default/hop-reef.jpg; Imperial / Double IPA;9.0;Ale;100.0;Amarillo, Cascade, Centennial, Chinook, Citra, Equinox, Simcoe;;Pale;;;Vitoria;Álava;País Vasco;España
59;rubia;Cap Blanc;Althaia Artesana;"
Una colaboración entre Althaia y el noruego Jens Maudal de Haandbryggeriet elaborada con lúpulos americanos.
Refrescante y muy aromática gracias a la combinación de Citra y Cascade y rematada con dry hopping de Citra.
";https://static3.soloartesanas.es/2889-large_default/cap-blanc.jpg; Session IPA;5.0;Ale;42.0;Citra y Cascade (junto a dryhopping con Citra);;Pilsner, Cara Blond y Munich;;;Altea;Alicante;Valencia;España
60;rubia;Golden Sin Gluten;Ausesken;"
Una cerveza sin gluten ligera y refrescante de espuma persistente y fina y de color blanco.
Con aromas especiados (clavo, jengibre, ...) y cítricos.
Aromas y sabores a maltas que recuerdan a pan tostado y cereal junto a cítricos y amargos.
";https://static3.soloartesanas.es/2628-large_default/golden-sin-gluten.jpg; Golden Ale;4.0;Ale;14.0;;;;6 ºC;;Olost;Barcelona;Cataluña;España
61;rubia;Del Pueblo Original;Del Pueblo;"
Una Pale Ale que equilibra muy bien el amargor del lúpulo con el dulzor de la malta.
De color dorado intenso, casi ambarino y con una espuma blanca correcta con una persistencia media. Ligera turbidez.
Aromas a cereal y corteza de pan junto a un sabor en boca refrescante y con notas resinosas que rápidamente tornan levemente al amargor del lúpulo.
";https://static3.soloartesanas.es/2619-large_default/original.jpg; Pale Ale;5.7;Ale;25.0;;;;;Cebada;Casas-Ibáñez;Albacete;Castilla-La Mancha;España
62;rubia;Hoppy;Bonvivant;"
Una Indian Pale Ale de color dorado intenso y cristalino, que destaca por sus aromas florales y cítricos, y un sabor afrutado y especiado, muy refrescante, y con un amargor bien integrado que invita a beber una y otra y otra...
";https://static1.soloartesanas.es/2607-large_default/hoppy.jpg; India Pale Ale;6.2;Ale;47.0;Magnum, Chinook, Cascade y Tomahawk;;;;;Málaga;Málaga;Andalucía;España
63;rubia;The Walking Coeliacs (sin gluten);La Calavera;"
Una Pale Ale sin gluten espectacular de La Calavera elaborada con maltas y lúpulos orgánicos.
";https://static2.soloartesanas.es/3452-large_default/the-walking-coeliacs-sin-gluten.jpg; Pale Ale;5.5;Ale;30.0;;;;;;Ripoll;Girona;Cataluña;España
64;rubia;Alice The Dog Eats Melanoidin;La Calavera;"
Una American IPA que no podrás dejar de tomar una vez la pruebes.
De aspecto ambarino y con aromas y sabores afrutados y cítricos.
";https://static1.soloartesanas.es/2601-large_default/alice-the-dog.jpg; American IPA;7.6;Ale;75.0;;;;;;Ripoll;Girona;Cataluña;España
65;rubia;Naranjas Traigo;Arévaka;"
Una colaboración entre Cervezas Arévaka y Barbas Beer Project que da lugar a una Extra Pale Ale con zumo de naranja y lima.
La combinación del amargor de la cerveza con la acidez de la lima, compensado todo ello con el cítrico de la naranja consiguen una cerveza sin igual.
";https://static2.soloartesanas.es/2562-large_default/naranjas-traigo.jpg; Extra Pale Ale;6.5;Ale;999.0;;;;;;Burgo de Osma;Soria;Castilla y León;España
66;rubia;Negra Miel;Arévaka;"
Una cerveza de estilo Braggot, según la clasifica su propio creador. Elaborada con miel de brezo e inspirada en un estilo de cerveza que aparece recogido en escritos del siglo XII.
Intesa y refrescante con notas a aceituna negra y regaliz en nariz. En boca, tras un ligero dulzor, aparece levemente el amargor del lúpulo.
Perfecta para estofados, caza y carnes a la brasa e ideal para postres basadaos en chocolate.
";https://static3.soloartesanas.es/2561-large_default/negra-miel.jpg; Braggot;6.8;Ale;27.0;;40;;;;Burgo de Osma;Soria;Castilla y León;España
